product_type_id, is_consumer_good, consume_product_num_per_day, demands_satisfaction_per_product_num, name  , description
BREAD          , true            , 10.00                      , FOOD:0.40;SPIRITUAL:0.10            , 面包  , 维持人口生存并提供少量精神满足
BLUEBERRY      , true            , 2.00                       , FOOD:0.25;SPIRITUAL:0.05            , 蓝莓  , 提供轻量食物补给与少量精神愉悦
TOY            , true            , 0.20                       , ENTERTAINMENT:0.40;SPIRITUAL:0.10   , 玩具  , 用于娱乐活动并改善日常情绪
BARBECUE       , true            , 1.20                       , FOOD:0.55;ENTERTAINMENT:0.10        , 烤肉  , 高满足度食物并带来一定娱乐体验
BOOK           , true            , 0.10                       , EDUCATION:0.45;SPIRITUAL:0.20       , 书本  , 提供知识学习并提升精神满足
FURNITURE      , true            , 0.10                       , ENTERTAINMENT:0.50;SPIRITUAL:0.20   , 家具  , 提升居住舒适度并增强娱乐体验
TOOLS          , true            , 0.10                       , ENTERTAINMENT:0.20;SPIRITUAL:0.10   , 工具  , 支撑生产与日常活动的基础器具
WOOD           , false           , 0.00                       ,                                      , 木材  , 常见建材与制造原料
ORE            , false           , 0.00                       ,                                      , 矿石  , 用于冶炼与工业加工的矿产资源
STONE          , false           , 0.00                       ,                                      , 石头  , 用于建设与防御工程的基础材料
CURRENCY       , false           , 0.00                       ,                                      , 货币  , 市场交易与价值衡量的通用媒介
